event_timestamp,dob_ssn,credit_card_due,mortgage_due,student_loan_due,vehicle_loan_due,hard_pulls,missed_payments_2y,missed_payments_1y,missed_payments_6m,bankruptcies,created_timestamp
2020-04-26 18:01:04.746575,19530219_5179,8419,91803,22328,15078,0,1,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19781116_7723,2944,741165,2515,28605,0,3,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19931128_5771,833,976522,33000,21733,9,7,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19500806_6783,5936,1553523,48955,26219,1,0,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19620322_7692,1575,1067381,9501,15814,1,1,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19521115_8793,6263,1957370,35510,17095,3,2,2,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19860608_5766,4378,490394,34057,935,8,3,2,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19690214_3370,9794,1325678,37003,17179,3,1,1,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19710204_2474,8840,1333759,21991,27414,9,1,1,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19670810_4552,888,170320,41180,7930,6,0,2,1,1,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19570513_7405,3214,157339,42470,23401,5,3,0,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19910429_8449,9983,1236123,26476,14290,0,0,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19971102_8169,8330,1142638,48371,5272,6,1,2,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19470930_7727,7509,1715027,31185,1114,9,4,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19961104_6715,3994,1278825,1411,24239,2,4,1,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19670424_9712,9407,179919,32748,21171,0,7,2,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19871021_4913,1397,1403895,4965,6585,0,1,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19990119_7587,8006,1687,476,6638,9,5,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19671011_6421,3032,1489421,22412,4639,0,4,0,1,0,2020-04-26 18:01:04.746575
