loan_id,dob_ssn,zipcode,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_amnt,loan_int_rate,loan_status,event_timestamp,created_timestamp
12208,19790429_9552,30721,24,30000,RENT,2.0,EDUCATION,3000,6.03,0,2021-07-28 17:09:19.623000+00:00,2021-07-28 17:09:19.623000+00:00
16140,19971025_8002,48893,21,21000,RENT,2.0,EDUCATION,6250,13.85,0,2021-06-08 14:21:52.761000+00:00,2021-06-08 14:21:52.761000+00:00
16135,19670812_9247,24092,22,19200,RENT,2.0,DEBTCONSOLIDATION,6250,7.51,1,2021-06-08 15:53:38.924000+00:00,2021-06-08 15:53:38.924000+00:00
14945,19511027_9100,76031,24,116300,RENT,6.0,HOMEIMPROVEMENT,5000,14.96,0,2021-06-23 19:54:45.803000+00:00,2021-06-23 19:54:45.803000+00:00
35168,19850301_1492,85358,30,66000,MORTGAGE,15.0,DEBTCONSOLIDATION,15000,11.14,0,2020-10-09 01:44:17.497000+00:00,2020-10-09 01:44:17.497000+00:00
23054,19710919_6605,37931,24,26400,OWN,8.0,VENTURE,3000,10.59,0,2021-03-12 11:23:10.074000+00:00,2021-03-12 11:23:10.074000+00:00
29947,19640320_6051,2703,28,48500,RENT,3.0,VENTURE,7500,12.86,0,2020-12-14 14:49:53.272000+00:00,2020-12-14 14:49:53.272000+00:00
15853,19601117_2584,48612,22,50000,OWN,2.0,EDUCATION,5600,11.86,0,2021-06-12 06:09:26.538000+00:00,2021-06-12 06:09:26.538000+00:00
36666,20000623_4827,56621,39,51000,OWN,12.0,EDUCATION,12000,11.34,0,2020-09-19 23:30:10.956000+00:00,2020-09-19 23:30:10.956000+00:00
35660,19480723_9980,59262,45,85000,RENT,0.0,PERSONAL,26000,14.27,1,2020-10-02 19:14:11.023000+00:00,2020-10-02 19:14:11.023000+00:00
13394,19750702_1909,30477,21,40000,RENT,3.0,EDUCATION,4000,7.51,0,2021-07-13 14:21:37.676000+00:00,2021-07-13 14:21:37.676000+00:00
17964,19710418_4488,76010,23,60000,RENT,0.0,VENTURE,8000,11.14,0,2021-05-16 08:24:24.369000+00:00,2021-05-16 08:24:24.369000+00:00
16830,19980702_5793,89403,22,40000,RENT,0.0,DEBTCONSOLIDATION,7000,10.65,0,2021-05-30 19:17:42.218000+00:00,2021-05-30 19:17:42.218000+00:00
13546,19570301_6673,62262,22,80000,RENT,6.0,EDUCATION,4000,11.12,0,2021-07-11 15:51:50.310000+00:00,2021-07-11 15:51:50.310000+00:00
23482,19770302_1970,91066,21,62004,RENT,0.0,VENTURE,15000,7.29,0,2021-03-07 00:27:42.490000+00:00,2021-03-07 00:27:42.490000+00:00
37320,19780515_5157,94559,36,72500,RENT,2.0,MEDICAL,10000,7.9,0,2020-09-11 15:26:44.789000+00:00,2020-09-11 15:26:44.789000+00:00
36960,20001207_6128,62249,39,24000,RENT,9.0,EDUCATION,5000,11.14,0,2020-09-16 05:34:08.550000+00:00,2020-09-16 05:34:08.550000+00:00
21987,19530513_1827,43215,24,95000,MORTGAGE,3.0,DEBTCONSOLIDATION,35000,11.99,0,2021-03-26 01:46:45.334000+00:00,2021-03-26 01:46:45.334000+00:00
31554,19551119_7032,55124,27,59004,RENT,3.0,EDUCATION,10000,16.32,0,2020-11-24 03:15:12.370000+00:00,2020-11-24 03:15:12.370000+00:00
38535,19580830_6315,35219,56,70000,MORTGAGE,7.0,PERSONAL,15000,10.38,0,2020-08-27 03:46:47.094000+00:00,2020-08-27 03:46:47.094000+00:00
37859,19920823_7844,6355,36,53550,RENT,1.0,MEDICAL,1600,12.21,1,2020-09-04 18:34:00.379000+00:00,2020-09-04 18:34:00.379000+00:00
21780,19840727_3972,21502,23,91000,MORTGAGE,5.0,VENTURE,10000,16.32,0,2021-03-28 17:06:00.496000+00:00,2021-03-28 17:06:00.496000+00:00
32289,19540228_8674,24350,34,84000,MORTGAGE,6.0,EDUCATION,2400,7.49,0,2020-11-14 18:25:06.357000+00:00,2020-11-14 18:25:06.357000+00:00
22045,19520219_1192,85740,21,83000,MORTGAGE,5.0,PERSONAL,15000,12.84,1,2021-03-25 08:02:13.839000+00:00,2021-03-25 08:02:13.839000+00:00
37119,19911106_2989,62889,48,66948,MORTGAGE,1.0,VENTURE,24000,10.62,0,2020-09-14 04:55:52.556000+00:00,2020-09-14 04:55:52.556000+00:00
